,TEAM,AWAY,GAMEDAY_FMT,SEASON_FMT,AWAYSCORE
870,OKC,MIN,2008-11-02,2008.0,85.0
871,OKC,GSW,2008-12-08,2008.0,112.0
872,OKC,MEM,2008-12-10,2008.0,108.0
873,OKC,NYK,2009-01-06,2008.0,99.0
874,OKC,MIL,2008-10-29,2008.0,98.0
875,OKC,IND,2009-04-05,2008.0,117.0
876,OKC,TOR,2008-12-19,2008.0,83.0
877,OKC,DEN,2009-01-02,2008.0,122.0
878,OKC,CHI,2009-03-18,2008.0,103.0
879,OKC,SAC,2009-02-08,2008.0,113.0
880,OKC,SAS,2009-03-16,2008.0,76.0
881,OKC,CLE,2008-12-21,2008.0,102.0
882,OKC,DET,2009-01-16,2008.0,79.0
883,OKC,UTA,2009-01-14,2008.0,93.0
884,OKC,MIA,2009-01-18,2008.0,104.0
885,NJN,OKC,2009-01-12,2008.0,99.0
886,OKC,NJN,2009-01-26,2008.0,85.0
887,CHI,OKC,2009-01-10,2008.0,109.0
888,NOH,OKC,2008-11-22,2008.0,97.0
889,NYK,OKC,2008-11-14,2008.0,106.0
890,OKC,ORL,2008-11-12,2008.0,109.0
891,OKC,ATL,2008-11-09,2008.0,89.0
892,OKC,BOS,2008-11-05,2008.0,96.0
893,OKC,HOU,2008-11-17,2008.0,100.0
894,OKC,PHI,2009-03-08,2008.0,74.0
895,OKC,LAC,2008-11-19,2008.0,108.0
896,OKC,POR,2009-02-06,2008.0,93.0
897,OKC,PHX,2008-11-25,2008.0,99.0
898,OKC,LAL,2009-02-24,2008.0,107.0
899,OKC,WAS,2009-03-04,2008.0,83.0
900,OKC,DAL,2009-03-02,2008.0,87.0
901,OKC,NOH,2008-11-21,2008.0,105.0
902,OKC,CHA,2009-04-10,2008.0,81.0
903,LAC,OKC,2009-01-23,2008.0,104.0
904,LAL,OKC,2009-02-10,2008.0,98.0
905,GSW,OKC,2009-01-21,2008.0,122.0
906,HOU,OKC,2008-11-01,2008.0,77.0
907,DET,OKC,2008-12-26,2008.0,88.0
908,IND,OKC,2008-11-10,2008.0,99.0
909,MIN,OKC,2009-01-07,2008.0,87.0
910,MIL,OKC,2009-04-11,2008.0,98.0
911,CLE,OKC,2008-11-26,2008.0,82.0
912,DAL,OKC,2008-12-13,2008.0,99.0
913,MEM,OKC,2008-11-29,2008.0,111.0
914,DEN,OKC,2009-03-11,2008.0,99.0
915,MIA,OKC,2008-12-06,2008.0,99.0
916,SAC,OKC,2009-02-01,2008.0,118.0
917,POR,OKC,2009-02-11,2008.0,92.0
918,BOS,OKC,2009-03-29,2008.0,84.0
919,PHX,OKC,2009-02-20,2008.0,118.0
920,CHA,OKC,2008-12-03,2008.0,97.0
921,ATL,OKC,2008-12-23,2008.0,88.0
922,WAS,OKC,2008-12-27,2008.0,95.0
923,SAS,OKC,2008-12-14,2008.0,104.0
924,UTA,OKC,2008-11-07,2008.0,97.0
925,TOR,OKC,2009-03-27,2008.0,96.0
926,PHI,OKC,2008-11-15,2008.0,85.0
927,ORL,OKC,2008-12-05,2008.0,89.0
928,LAL,BKN,2012-11-20,2012.0,90.0
929,SAC,BKN,2012-11-18,2012.0,99.0
930,BKN,MIA,2013-01-30,2012.0,105.0
931,BKN,MIN,2012-11-05,2012.0,107.0
932,DEN,BKN,2013-03-29,2012.0,87.0
933,BKN,BOS,2012-11-15,2012.0,97.0
934,POR,BKN,2013-03-27,2012.0,111.0
935,BKN,UTA,2012-12-18,2012.0,92.0
936,MIL,BKN,2012-12-26,2012.0,93.0
937,BKN,OKC,2012-12-04,2012.0,117.0
938,SAS,BKN,2012-12-31,2012.0,73.0
939,BKN,NYK,2012-11-26,2012.0,89.0
940,BKN,POR,2012-11-25,2012.0,85.0
941,BKN,IND,2013-01-13,2012.0,86.0
942,BKN,ATL,2013-01-18,2012.0,89.0
943,BKN,LAC,2012-11-23,2012.0,76.0
944,BKN,CHA,2012-12-28,2012.0,81.0
945,BKN,TOR,2012-11-03,2012.0,100.0
946,PHX,BKN,2013-03-24,2012.0,102.0
947,BKN,LAL,2013-02-05,2012.0,92.0
948,BKN,DAL,2013-03-01,2012.0,98.0
949,DAL,BKN,2013-03-20,2012.0,113.0
950,MIN,BKN,2013-01-23,2012.0,91.0
