,Unnamed: 0,TEAM,AWAY,GAMEDAY_FMT,SEASON_FMT,AWAYSCORE,HOMESCORE,HOMEWIN,HOME_OFFRTG,AWAY_OFFRTG,HOME_DEFRTG,AWAY_DEFRTG,Unnamed: 0,Unnamed: 0.1,HOME_AST%,AWAY_AST%,HOME_AST/TO,AWAY_AST/TO,HOME_AST RATIO,AWAY_AST RATIO,HOME_OREB%,AWAY_OREB%,HOME_DREB%,AWAY_DREB%,HOME_REB%,AWAY_REB%,HOME_TO RATIO,AWAY_TO RATIO,HOME_EFG%,AWAY_EFG%,HOME_TS%,AWAY_TS%,HOME_PACE,AWAY_PACE,HOME_PIE,AWAY_PIE
0,0,SEA,LAL,2008-01-14,2007,123,121,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,
1,1,SAS,HOU,2007-11-16,2007,84,90,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
2,2,BOS,SAC,2007-12-12,2007,78,90,1,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,
3,3,MIA,UTA,2007-12-22,2007,102,104,1,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,
7,7,SAS,LAL,2007-11-13,2007,92,107,1,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,
8,8,SAS,NJN,2008-03-04,2007,70,81,1,,,,,8,8,,,,,,,,,,,,,,,,,,,,,,
9,9,SAS,ORL,2007-11-21,2007,110,128,1,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,
12,12,SAS,MIL,2007-11-11,2007,88,113,1,,,,,12,12,,,,,,,,,,,,,,,,,,,,,,
15,15,SAS,IND,2008-03-06,2007,97,108,1,,,,,15,15,,,,,,,,,,,,,,,,,,,,,,
16,16,SAS,BOS,2008-03-17,2007,93,91,0,,,,,16,16,,,,,,,,,,,,,,,,,,,,,,
17,17,SAS,WAS,2007-11-28,2007,94,109,1,,,,,17,17,,,,,,,,,,,,,,,,,,,,,,
18,18,CLE,PHI,2007-12-15,2007,92,86,0,,,,,18,18,,,,,,,,,,,,,,,,,,,,,,
19,19,BOS,MIL,2007-12-14,2007,82,104,1,,,,,19,19,,,,,,,,,,,,,,,,,,,,,,
21,21,SAS,MIA,2007-11-07,2007,78,88,1,,,,,21,21,,,,,,,,,,,,,,,,,,,,,,
22,22,SAS,MEM,2007-11-23,2007,88,101,1,,,,,22,22,,,,,,,,,,,,,,,,,,,,,,
23,23,DEN,CHI,2007-11-20,2007,91,112,1,,,,,23,23,,,,,,,,,,,,,,,,,,,,,,
24,24,DEN,MIN,2007-11-23,2007,93,99,1,,,,,24,24,,,,,,,,,,,,,,,,,,,,,,
25,25,PHI,CHI,2008-01-11,2007,100,97,0,,,,,25,25,,,,,,,,,,,,,,,,,,,,,,
26,26,CLE,IND,2007-12-11,2007,105,118,1,,,,,26,26,,,,,,,,,,,,,,,,,,,,,,
27,27,PHI,DET,2008-01-23,2007,86,78,0,,,,,27,27,,,,,,,,,,,,,,,,,,,,,,
36,36,MIA,MEM,2008-04-11,2007,96,91,0,,,,,36,36,,,,,,,,,,,,,,,,,,,,,,
38,38,DEN,SAC,2007-12-08,2007,97,101,1,,,,,38,38,,,,,,,,,,,,,,,,,,,,,,
41,41,MIA,NJN,2007-12-20,2007,107,103,0,,,,,41,41,,,,,,,,,,,,,,,,,,,,,,
42,42,DEN,MIL,2007-12-26,2007,105,125,1,,,,,42,42,,,,,,,,,,,,,,,,,,,,,,
43,43,PHI,LAC,2008-02-09,2007,80,101,1,,,,,43,43,,,,,,,,,,,,,,,,,,,,,,
44,44,BOS,TOR,2007-12-07,2007,84,112,1,,,,,44,44,,,,,,,,,,,,,,,,,,,,,,
45,45,SAS,SAC,2007-11-02,2007,80,96,1,,,,,45,45,,,,,,,,,,,,,,,,,,,,,,
47,47,SAS,DAL,2007-12-05,2007,95,97,1,,,,,47,47,,,,,,,,,,,,,,,,,,,,,,
49,49,MEM,PHX,2008-02-26,2007,127,113,0,,,,,49,49,,,,,,,,,,,,,,,,,,,,,,
50,50,MEM,MIN,2007-12-01,2007,80,109,1,,,,,50,50,,,,,,,,,,,,,,,,,,,,,,
51,51,MEM,UTA,2008-02-02,2007,110,91,0,,,,,51,51,,,,,,,,,,,,,,,,,,,,,,
52,52,MEM,POR,2007-12-03,2007,106,105,0,,,,,52,52,,,,,,,,,,,,,,,,,,,,,,
53,53,MEM,SAC,2008-02-12,2007,94,107,1,,,,,53,53,,,,,,,,,,,,,,,,,,,,,,
55,55,MEM,MIL,2008-02-05,2007,102,97,0,,,,,55,55,,,,,,,,,,,,,,,,,,,,,,
56,56,NOH,LAC,2008-01-25,2007,92,111,1,,,,,56,56,,,,,,,,,,,,,,,,,,,,,,
57,57,DEN,POR,2007-11-14,2007,93,110,1,,,,,57,57,,,,,,,,,,,,,,,,,,,,,,
60,60,PHI,DEN,2008-03-19,2007,113,115,1,,,,,60,60,,,,,,,,,,,,,,,,,,,,,,
62,62,PHI,UTA,2007-11-28,2007,106,95,0,,,,,62,62,,,,,,,,,,,,,,,,,,,,,,
63,63,PHI,SAS,2008-03-15,2007,96,103,1,,,,,63,63,,,,,,,,,,,,,,,,,,,,,,
64,64,CLE,MIA,2007-12-25,2007,82,96,1,,,,,64,64,,,,,,,,,,,,,,,,,,,,,,
65,65,MEM,GSW,2007-12-17,2007,125,117,0,,,,,65,65,,,,,,,,,,,,,,,,,,,,,,
66,66,NOH,DEN,2008-01-28,2007,93,117,1,,,,,66,66,,,,,,,,,,,,,,,,,,,,,,
67,67,SAS,ATL,2008-02-25,2007,74,89,1,,,,,67,67,,,,,,,,,,,,,,,,,,,,,,
68,68,SAS,DEN,2007-12-15,2007,91,102,1,,,,,68,68,,,,,,,,,,,,,,,,,,,,,,
69,69,PHI,IND,2008-01-21,2007,110,103,0,,,,,69,69,,,,,,,,,,,,,,,,,,,,,,
70,70,SAS,PHX,2007-12-17,2007,100,95,0,,,,,70,70,,,,,,,,,,,,,,,,,,,,,,
74,74,NOH,GSW,2008-01-30,2007,116,103,0,,,,,74,74,,,,,,,,,,,,,,,,,,,,,,
76,76,DEN,NYK,2007-11-17,2007,83,115,1,,,,,76,76,,,,,,,,,,,,,,,,,,,,,,
77,77,BOS,GSW,2007-11-21,2007,82,105,1,,,,,77,77,,,,,,,,,,,,,,,,,,,,,,
78,78,MEM,DET,2007-12-11,2007,113,103,0,,,,,78,78,,,,,,,,,,,,,,,,,,,,,,
79,79,SAS,CHA,2008-02-19,2007,65,85,1,,,,,79,79,,,,,,,,,,,,,,,,,,,,,,
80,80,MEM,PHI,2007-12-22,2007,99,97,0,,,,,80,80,,,,,,,,,,,,,,,,,,,,,,
86,86,MEM,LAC,2007-12-14,2007,98,91,0,,,,,86,86,,,,,,,,,,,,,,,,,,,,,,
88,88,PHI,GSW,2007-11-24,2007,100,98,0,,,,,88,88,,,,,,,,,,,,,,,,,,,,,,
89,89,PHI,ORL,2008-02-01,2007,108,106,0,,,,,89,89,,,,,,,,,,,,,,,,,,,,,,
91,91,MIA,IND,2007-12-15,2007,106,103,0,,,,,91,91,,,,,,,,,,,,,,,,,,,,,,
92,92,SAC,MEM,2008-01-10,2007,113,116,1,,,,,92,92,,,,,,,,,,,,,,,,,,,,,,
93,93,MIA,HOU,2007-11-23,2007,91,98,1,,,,,93,93,,,,,,,,,,,,,,,,,,,,,,
94,94,MIA,ATL,2007-11-21,2007,82,79,0,,,,,94,94,,,,,,,,,,,,,,,,,,,,,,
95,95,PHI,MIL,2008-01-08,2007,87,83,0,,,,,95,95,,,,,,,,,,,,,,,,,,,,,,
96,96,BOS,NJN,2007-11-14,2007,69,91,1,,,,,96,96,,,,,,,,,,,,,,,,,,,,,,
98,98,MIA,SAC,2008-02-26,2007,86,107,1,,,,,98,98,,,,,,,,,,,,,,,,,,,,,,
100,100,MIA,TOR,2008-02-04,2007,114,82,0,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,
101,101,MIA,MIN,2007-12-17,2007,87,91,1,,,,,101,101,,,,,,,,,,,,,,,,,,,,,,
102,102,SAC,WAS,2008-03-28,2007,114,108,0,,,,,102,102,,,,,,,,,,,,,,,,,,,,,,
103,103,CLE,LAC,2008-02-02,2007,84,98,1,,,,,103,103,,,,,,,,,,,,,,,,,,,,,,
104,104,MIA,LAL,2008-02-10,2007,104,94,0,,,,,104,104,,,,,,,,,,,,,,,,,,,,,,
106,106,MIA,PHI,2008-02-23,2007,101,96,0,,,,,106,106,,,,,,,,,,,,,,,,,,,,,,
107,107,BOS,DEN,2007-11-07,2007,93,119,1,,,,,107,107,,,,,,,,,,,,,,,,,,,,,,
108,108,SAC,ORL,2008-01-08,2007,100,104,1,,,,,108,108,,,,,,,,,,,,,,,,,,,,,,
109,109,NOH,TOR,2007-12-31,2007,97,92,0,,,,,109,109,,,,,,,,,,,,,,,,,,,,,,
110,110,DEN,DAL,2008-03-27,2007,105,118,1,,,,,110,110,,,,,,,,,,,,,,,,,,,,,,
111,111,DEN,IND,2007-11-27,2007,112,110,0,,,,,111,111,,,,,,,,,,,,,,,,,,,,,,
112,112,SAC,CLE,2007-11-09,2007,93,91,0,,,,,112,112,,,,,,,,,,,,,,,,,,,,,,
113,113,MIA,SEA,2007-11-14,2007,104,95,0,,,,,113,113,,,,,,,,,,,,,,,,,,,,,,
114,114,MIA,PHX,2007-11-09,2007,106,101,0,,,,,114,114,,,,,,,,,,,,,,,,,,,,,,
115,115,CLE,SAS,2008-02-13,2007,112,105,0,,,,,115,115,,,,,,,,,,,,,,,,,,,,,,
117,117,SAC,MIL,2007-12-10,2007,93,96,1,,,,,117,117,,,,,,,,,,,,,,,,,,,,,,
118,118,SAC,PHI,2007-12-28,2007,92,80,0,,,,,118,118,,,,,,,,,,,,,,,,,,,,,,
119,119,MIA,CHA,2007-11-04,2007,90,88,0,,,,,119,119,,,,,,,,,,,,,,,,,,,,,,
120,120,PHI,ATL,2007-12-03,2007,88,79,0,,,,,120,120,,,,,,,,,,,,,,,,,,,,,,
121,121,MIA,DET,2007-11-01,2007,91,80,0,,,,,121,121,,,,,,,,,,,,,,,,,,,,,,
122,122,SAC,UTA,2007-12-04,2007,107,117,1,,,,,122,122,,,,,,,,,,,,,,,,,,,,,,
123,123,CLE,HOU,2008-02-19,2007,93,85,0,,,,,123,123,,,,,,,,,,,,,,,,,,,,,,
125,125,NOH,MEM,2007-12-07,2007,116,118,1,,,,,125,125,,,,,,,,,,,,,,,,,,,,,,
