,TEAM,AWAY,GAMEDAY_FMT,SEASON_FMT,AWAYSCORE,HOMESCORE,HOMEWIN,HOME_OFFRTG,AWAY_OFFRTG,HOME_DEFRTG,AWAY_DEFRTG
0,SEA,LAL,2008-01-14,2007,123,121,0,,,,
1,SAS,HOU,2007-11-16,2007,84,90,1,,,,
2,BOS,SAC,2007-12-12,2007,78,90,1,,,,
3,MIA,UTA,2007-12-22,2007,102,104,1,,,,
4,BOS,DET,2008-05-28,2007,102,106,1,13.499999999999998,11.351020408163267,12.342857142857142,12.5265306122449
5,BOS,DET,2008-05-22,2007,103,97,0,13.499999999999998,11.351020408163267,12.342857142857142,12.5265306122449
6,BOS,DET,2008-05-20,2007,79,88,1,13.499999999999998,11.351020408163267,12.342857142857142,12.5265306122449
7,SAS,LAL,2007-11-13,2007,92,107,1,,,,
8,SAS,NJN,2008-03-04,2007,70,81,1,,,,
9,SAS,ORL,2007-11-21,2007,110,128,1,,,,
10,PHI,MIA,2008-02-07,2007,84,101,1,8.203125,9.054347826086957,7.171875,10.869565217391305
11,BOS,CLE,2008-05-18,2007,92,97,1,11.340206185567009,4.783510638297873,6.747422680412371,9.042553191489363
12,SAS,MIL,2007-11-11,2007,88,113,1,,,,
13,BOS,CLE,2008-05-14,2007,89,96,1,11.340206185567009,4.783510638297873,6.747422680412371,9.042553191489363
14,BOS,CLE,2008-05-08,2007,73,89,1,11.340206185567009,4.783510638297873,6.747422680412371,9.042553191489363
15,SAS,IND,2008-03-06,2007,97,108,1,,,,
16,SAS,BOS,2008-03-17,2007,93,91,0,,,,
17,SAS,WAS,2007-11-28,2007,94,109,1,,,,
18,CLE,PHI,2007-12-15,2007,92,86,0,,,,
19,BOS,MIL,2007-12-14,2007,82,104,1,,,,
20,SAS,DEN,2008-03-10,2007,103,107,1,0.0,10.04591836734694,0.0,11.224489795918366
21,SAS,MIA,2007-11-07,2007,78,88,1,,,,
22,SAS,MEM,2007-11-23,2007,88,101,1,,,,
23,DEN,CHI,2007-11-20,2007,91,112,1,,,,
24,DEN,MIN,2007-11-23,2007,93,99,1,,,,
25,PHI,CHI,2008-01-11,2007,100,97,0,,,,
26,CLE,IND,2007-12-11,2007,105,118,1,,,,
27,PHI,DET,2008-01-23,2007,86,78,0,,,,
28,NOH,SAS,2008-05-03,2007,82,101,1,11.459375,11.020408163265307,8.629166666666666,6.731632653061224
29,NOH,SAS,2008-05-05,2007,84,102,1,11.459375,11.020408163265307,8.629166666666666,6.731632653061224
30,NOH,SAS,2008-05-13,2007,79,101,1,11.459375,11.020408163265307,8.629166666666666,6.731632653061224
31,NOH,SAS,2008-05-19,2007,91,82,0,11.459375,11.020408163265307,8.629166666666666,6.731632653061224
32,SAS,NOH,2008-05-08,2007,99,110,1,0.0,12.8,0.0,13.452631578947368
33,MIA,DET,2008-04-06,2007,91,75,0,17.81734693877551,10.941666666666665,16.246938775510205,13.040625
34,SAS,NOH,2008-05-11,2007,80,100,1,0.0,12.8,0.0,13.452631578947368
35,MIA,CHI,2008-04-08,2007,88,95,1,14.185416666666665,19.723404255319146,12.546875,12.191489361702127
36,MIA,MEM,2008-04-11,2007,96,91,0,,,,
37,MIA,ATL,2008-04-16,2007,99,113,1,9.670212765957448,9.874468085106383,8.329787234042554,10.759574468085106
38,DEN,SAC,2007-12-08,2007,97,101,1,,,,
39,SAS,UTA,2008-04-16,2007,80,109,1,0.0,33.214285714285715,0.0,30.588775510204087
40,BOS,CLE,2008-05-06,2007,72,76,1,11.340206185567009,4.783510638297873,6.747422680412371,9.042553191489363
41,MIA,NJN,2007-12-20,2007,107,103,0,,,,
42,DEN,MIL,2007-12-26,2007,105,125,1,,,,
43,PHI,LAC,2008-02-09,2007,80,101,1,,,,
44,BOS,TOR,2007-12-07,2007,84,112,1,,,,
45,SAS,SAC,2007-11-02,2007,80,96,1,,,,
46,MEM,DAL,2008-02-22,2007,98,83,0,7.8125,19.565217391304348,11.90625,16.365217391304345
47,SAS,DAL,2007-12-05,2007,95,97,1,,,,
48,NOH,DAL,2008-04-19,2007,92,104,1,7.395408163265308,7.5,7.428571428571429,8.79
49,MEM,PHX,2008-02-26,2007,127,113,0,,,,
50,MEM,MIN,2007-12-01,2007,80,109,1,,,,
51,MEM,UTA,2008-02-02,2007,110,91,0,,,,
52,MEM,POR,2007-12-03,2007,106,105,0,,,,
53,MEM,SAC,2008-02-12,2007,94,107,1,,,,
54,PHI,IND,2008-04-11,2007,85,76,0,9.871875,13.835106382978726,9.871875,16.45212765957447
55,MEM,MIL,2008-02-05,2007,102,97,0,,,,
56,NOH,LAC,2008-01-25,2007,92,111,1,,,,
57,DEN,POR,2007-11-14,2007,93,110,1,,,,
58,PHI,BOS,2008-03-10,2007,100,86,0,15.750000000000002,18.0,18.229166666666668,15.555
59,MEM,SAS,2007-12-19,2007,85,88,1,22.47916666666667,7.3875,20.833333333333336,5.73125
60,PHI,DEN,2008-03-19,2007,113,115,1,,,,
61,DEN,GSW,2008-03-29,2007,112,119,1,12.146875,10.41304347826087,12.634375,8.152173913043477
62,PHI,UTA,2007-11-28,2007,106,95,0,,,,
63,PHI,SAS,2008-03-15,2007,96,103,1,,,,
64,CLE,MIA,2007-12-25,2007,82,96,1,,,,
65,MEM,GSW,2007-12-17,2007,125,117,0,,,,
66,NOH,DEN,2008-01-28,2007,93,117,1,,,,
67,SAS,ATL,2008-02-25,2007,74,89,1,,,,
68,SAS,DEN,2007-12-15,2007,91,102,1,,,,
69,PHI,IND,2008-01-21,2007,110,103,0,,,,
70,SAS,PHX,2007-12-17,2007,100,95,0,,,,
71,SAS,SAC,2008-03-21,2007,89,102,1,11.224489795918366,16.84285714285714,8.553061224489797,11.228571428571426
72,MIA,NJN,2008-02-01,2007,94,85,0,9.725,21.849056603773583,11.458333333333332,18.37735849056604
73,PHI,WAS,2008-02-05,2007,96,101,1,28.456382978723408,12.28125,22.192553191489363,20.25
74,NOH,GSW,2008-01-30,2007,116,103,0,,,,
75,SAS,LAC,2008-03-26,2007,88,97,1,0.0,13.11734693877551,0.0,13.607142857142858
76,DEN,NYK,2007-11-17,2007,83,115,1,,,,
77,BOS,GSW,2007-11-21,2007,82,105,1,,,,
78,MEM,DET,2007-12-11,2007,113,103,0,,,,
79,SAS,CHA,2008-02-19,2007,65,85,1,,,,
80,MEM,PHI,2007-12-22,2007,99,97,0,,,,
81,MEM,NOH,2007-12-26,2007,116,98,0,10.377358490566039,20.057547169811322,9.905660377358492,18.354716981132075
82,NOH,DAL,2008-04-22,2007,103,127,1,7.395408163265308,7.5,7.428571428571429,8.79
83,SAS,NOH,2008-02-23,2007,89,98,1,0.0,17.017021276595745,0.0,12.76595744680851
84,NOH,DAL,2008-04-29,2007,94,99,1,7.395408163265308,7.5,7.428571428571429,8.79
