0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"T. McGrady, .R. Alston, .S. Battier, .Yao, .C. Hayes",HOU,1,10.3,20.0,8.0,17.0,47.1,1.0,5.0,20.0,3.0,4.0,75.0,0.0,8.0,8.0,4.0,3.0,4.0,0.0,1.0,3.0,3.0,-3.0,11-13-2007
"T. McGrady, .R. Alston, .S. Battier, .Yao, .L. Scola",HOU,1,5.9,19.0,9.0,11.0,81.8,0.0,1.0,0.0,1.0,2.0,50.0,1.0,2.0,3.0,4.0,2.0,3.0,0.0,0.0,2.0,2.0,2.0,11-13-2007
"D. Mutombo, .B. Wells, .M. James, .L. Scola, .L. Head",HOU,1,5.8,12.0,5.0,8.0,62.5,0.0,1.0,0.0,2.0,4.0,50.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,11-13-2007
"B. Wells, .M. James, .Yao, .L. Scola, .L. Head",HOU,1,5.1,6.0,1.0,7.0,14.3,0.0,1.0,0.0,4.0,4.0,100,3.0,2.0,5.0,0.0,2.0,0.0,1.0,2.0,4.0,2.0,-5.0,11-13-2007
"T. McGrady, .S. Battier, .M. James, .Yao, .C. Hayes",HOU,1,4.5,12.0,5.0,8.0,62.5,2.0,2.0,100,0.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,1.0,0.0,1.0,4.0,1.0,6.0,11-13-2007
"D. Mutombo, .T. McGrady, .S. Battier, .M. James, .C. Hayes",HOU,1,3.6,10.0,4.0,7.0,57.1,0.0,2.0,0.0,2.0,2.0,100,2.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,4.0,3.0,2.0,11-13-2007
"T. McGrady, .B. Wells, .S. Battier, .M. James, .Yao",HOU,1,3.3,4.0,1.0,7.0,14.3,0.0,2.0,0.0,2.0,2.0,100,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,-7.0,11-13-2007
"D. Mutombo, .T. McGrady, .B. Wells, .M. James, .L. Scola",HOU,1,2.5,2.0,1.0,5.0,20.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-2.0,11-13-2007
"T. McGrady, .B. Wells, .M. James, .Yao, .L. Scola",HOU,1,2.1,3.0,1.0,4.0,25.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,-1.0,11-13-2007
"T. McGrady, .R. Alston, .S. Battier, .Yao, .L. Head",HOU,1,2.1,7.0,2.0,3.0,66.7,1.0,2.0,50.0,2.0,2.0,100,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,11-13-2007
"T. McGrady, .S. Battier, .M. James, .Yao, .L. Scola",HOU,1,1.1,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-4.0,11-13-2007
"D. Mutombo, .B. Wells, .S. Battier, .M. James, .L. Head",HOU,1,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,11-13-2007
"T. McGrady, .R. Alston, .S. Battier, .L. Head, .C. Hayes",HOU,1,0.6,2.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11-13-2007
