,lineup,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,TEAM,GAMEDAY
0,".K. Thomas, .E. Watson, .N. Collison, .K. Durant, .J. Green ",1,14,77.4,87.9,-10.5,54.5,1.20,14.6,25.0,76.5,51.5,0.2,40.7,43.0,109.00,50.0,SEA,Jan 14 2008
1,".K. Thomas, .N. Collison, .L. Ridnour, .K. Durant, .J. Green ",1,5,112.5,88.9,23.6,25.0,0.00,9.1,33.3,66.7,50.0,0.0,50.0,45.5,82.09,63.2,SEA,Jan 14 2008
2,".K. Thomas, .W. Szczerbiak, .N. Collison, .L. Ridnour, .J. Green ",1,4,157.1,100.0,57.1,80.0,0.00,36.4,0.0,60.0,50.0,0.0,83.3,85.4,87.65,82.5,SEA,Jan 14 2008
3,".W. Szczerbiak, .C. Wilcox, .L. Ridnour, .K. Durant, .J. Green ",1,4,120.0,133.3,-13.3,40.0,1.00,14.3,40.0,50.0,44.4,0.2,60.0,60.0,120.00,21.6,SEA,Jan 14 2008
4,".W. Szczerbiak, .N. Collison, .L. Ridnour, .D. West, .J. Petro ",1,4,88.9,170.0,-81.1,100,1.33,28.6,25.0,100,50.0,0.3,57.1,53.8,113.06,7.0,SEA,Jan 14 2008
5,".K. Thomas, .W. Szczerbiak, .E. Watson, .C. Wilcox, .K. Durant ",1,3,75.0,162.5,-87.5,50.0,1.00,11.1,0.0,100,40.0,0.1,50.0,51.0,122.55,11.8,SEA,Jan 14 2008
6,".W. Szczerbiak, .C. Wilcox, .N. Collison, .L. Ridnour, .K. Durant ",1,3,120.0,66.7,53.3,50.0,1.00,10.0,80.0,66.7,75.0,0.2,28.6,38.1,82.50,75.0,SEA,Jan 14 2008
7,".E. Watson, .N. Collison, .D. West, .K. Durant, .J. Green ",1,2,75.0,133.3,-58.3,0.0,0.00,0.0,66.7,33.3,50.0,0.3,0.0,31.5,75.79,0.0,SEA,Jan 14 2008
8,".K. Thomas, .W. Szczerbiak, .C. Wilcox, .L. Ridnour, .D. West ",1,2,166.7,66.7,100.0,25.0,0.00,14.3,0.0,100,75.0,0.0,80.0,85.0,118.36,93.5,SEA,Jan 14 2008
9,".K. Thomas, .W. Szczerbiak, .E. Watson, .K. Durant, .J. Green ",1,2,180.0,50.0,130.0,100,0.00,37.5,0.0,75.0,60.0,0.0,87.5,92.2,93.44,103.7,SEA,Jan 14 2008
