,lineup,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,TEAM,GAMEDAY
0,".A. Johnson, .J. Johnson, .J. Smith, .M. Williams, .A. Horford ",1,20.8,33.0,12.0,30.0,40.0,1.0,6.0,16.7,8.0,11.0,72.7,2.0,17.0,19.0,10.0,8.0,3.0,3.0,0.0,5.0,9.0,0.0,ATL,Nov 30 2007
1,".T. Lue, .Z. Pachulia, .J. Childress, .M. Williams, .A. Horford ",1,3.7,4.0,2.0,7.0,28.6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,ATL,Nov 30 2007
2,".T. Lue, .J. Johnson, .Z. Pachulia, .J. Childress, .J. Smith ",1,2.5,4.0,1.0,2.0,50.0,0.0,0.0,0.0,2.0,2.0,100,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,-2.0,ATL,Nov 30 2007
3,".T. Lue, .Z. Pachulia, .J. Childress, .S. Williams, .M. West ",1,2.5,2.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,-1.0,ATL,Nov 30 2007
4,".T. Lue, .J. Johnson, .J. Smith, .M. Williams, .A. Horford ",1,2.3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,-1.0,ATL,Nov 30 2007
5,".T. Lue, .J. Johnson, .Z. Pachulia, .J. Childress, .M. Williams ",1,2.3,5.0,2.0,4.0,50.0,1.0,1.0,100,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,ATL,Nov 30 2007
6,".A. Johnson, .J. Johnson, .Z. Pachulia, .J. Childress, .J. Smith ",1,2.2,5.0,2.0,2.0,100,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,-2.0,ATL,Nov 30 2007
7,".A. Johnson, .J. Johnson, .Z. Pachulia, .J. Smith, .M. Williams ",1,2.2,4.0,2.0,2.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,ATL,Nov 30 2007
8,".T. Lue, .J. Johnson, .J. Childress, .J. Smith, .A. Horford ",1,2.0,5.0,1.0,1.0,100,0.0,0.0,0.0,3.0,4.0,75.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,-2.0,ATL,Nov 30 2007
9,".T. Lue, .J. Johnson, .Z. Pachulia, .J. Childress, .A. Horford ",1,2.0,5.0,2.0,4.0,50.0,1.0,3.0,33.3,0.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,ATL,Nov 30 2007
10,".J. Johnson, .J. Childress, .J. Smith, .M. Williams, .A. Horford ",1,1.9,2.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-4.0,ATL,Nov 30 2007
11,".T. Lue, .J. Johnson, .Z. Pachulia, .J. Childress, .S. Williams ",1,1.7,7.0,3.0,4.0,75.0,1.0,1.0,100,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,ATL,Nov 30 2007
12,".T. Lue, .Z. Pachulia, .J. Childress, .M. Williams, .M. West ",1,1.3,4.0,1.0,1.0,100,0.0,0.0,0.0,2.0,2.0,100,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,ATL,Nov 30 2007
13,".A. Johnson, .T. Lue, .J. Johnson, .J. Smith, .M. Williams ",1,0.6,6.0,2.0,3.0,66.7,1.0,2.0,50.0,1.0,1.0,100,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,ATL,Nov 30 2007
14,".J. Johnson, .Z. Pachulia, .J. Childress, .M. Williams, .A. Horford ",1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,ATL,Nov 30 2007
15,".T. Lue, .J. Johnson, .Z. Pachulia, .J. Smith, .M. Williams ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,Nov 30 2007
