,lineup,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,TEAM,GAMEDAY
0,".E. Snow, .Z. Ilgauskas, .D. Gooden, .L. James, .S. Pavlovic ",1,16.5,26.0,13.0,27.0,48.1,0.0,1.0,0.0,0.0,2.0,0.0,3.0,12.0,15.0,9.0,8.0,1.0,3.0,1.0,4.0,2.0,-4.0,CLE,Dec 15 2007
1,".L. Hughes, .D. Gooden, .L. James, .A. Varejao, .S. Brown ",1,6.9,16.0,5.0,9.0,55.6,1.0,3.0,33.3,5.0,6.0,83.3,1.0,6.0,7.0,4.0,2.0,0.0,1.0,0.0,1.0,4.0,12.0,CLE,Dec 15 2007
2,".Z. Ilgauskas, .L. Hughes, .D. Jones, .A. Varejao, .S. Brown ",1,5.1,9.0,3.0,10.0,30.0,0.0,1.0,0.0,3.0,4.0,75.0,2.0,4.0,6.0,2.0,2.0,0.0,2.0,2.0,3.0,3.0,-7.0,CLE,Dec 15 2007
3,".L. Hughes, .D. Gooden, .L. James, .S. Pavlovic, .A. Varejao ",1,4.6,7.0,2.0,6.0,33.3,0.0,1.0,0.0,3.0,3.0,100,0.0,4.0,4.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,CLE,Dec 15 2007
4,".Z. Ilgauskas, .L. Hughes, .D. Gooden, .L. James, .S. Brown ",1,4.2,4.0,1.0,7.0,14.3,0.0,0.0,0.0,2.0,2.0,100,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,-4.0,CLE,Dec 15 2007
5,".Z. Ilgauskas, .L. Hughes, .D. Jones, .L. James, .A. Varejao ",1,3.3,5.0,2.0,4.0,50.0,1.0,3.0,33.3,0.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,0.0,1.0,0.0,3.0,1.0,-2.0,CLE,Dec 15 2007
6,".L. Hughes, .I. Newble, .L. James, .A. Varejao, .S. Brown ",1,2.1,6.0,1.0,3.0,33.3,0.0,1.0,0.0,4.0,4.0,100,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,-1.0,CLE,Dec 15 2007
7,".Z. Ilgauskas, .L. Hughes, .L. James, .A. Varejao, .S. Brown ",1,1.4,4.0,2.0,2.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CLE,Dec 15 2007
8,".E. Snow, .D. Gooden, .L. James, .S. Pavlovic, .A. Varejao ",1,1.3,5.0,2.0,3.0,66.7,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,CLE,Dec 15 2007
9,".L. Hughes, .D. Jones, .I. Newble, .A. Varejao, .S. Brown ",1,1.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-4.0,CLE,Dec 15 2007
