,lineup,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,TEAM,GAMEDAY
0,".J. Hayes, .D. Harris, .J. Yi, .B. Lopez, .C. Lee ",1,16.8,32.0,11.0,29.0,37.9,2.0,7.0,28.6,8.0,9.0,88.9,2.0,10.0,12.0,6.0,5.0,2.0,1.0,1.0,4.0,9.0,-8.0,NJN,Mar 31 2010
1,".D. Harris, .J. Yi, .B. Lopez, .C. Lee, .T. Williams ",1,5.9,11.0,5.0,11.0,45.5,1.0,4.0,25.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,3.0,1.0,0.0,0.0,2.0,0.0,-4.0,NJN,Mar 31 2010
2,".D. Harris, .K. Humphries, .J. Yi, .C. Lee, .T. Williams ",1,4.2,12.0,5.0,7.0,71.4,2.0,3.0,66.7,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0,6.0,NJN,Mar 31 2010
3,".D. Harris, .K. Humphries, .B. Lopez, .C. Lee, .T. Williams ",1,3.9,7.0,3.0,6.0,50.0,0.0,2.0,0.0,1.0,1.0,100,0.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,-4.0,NJN,Mar 31 2010
4,".K. Dooling, .D. Harris, .K. Humphries, .B. Lopez, .T. Williams ",1,3.8,7.0,3.0,8.0,37.5,0.0,1.0,0.0,1.0,2.0,50.0,2.0,3.0,5.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,NJN,Mar 31 2010
5,".K. Dooling, .K. Humphries, .J. Yi, .C. Lee, .T. Williams ",1,3.7,11.0,5.0,9.0,55.6,0.0,1.0,0.0,1.0,1.0,100,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,-1.0,NJN,Mar 31 2010
6,".J. Hayes, .J. Yi, .B. Lopez, .C. Lee, .T. Williams ",1,2.6,9.0,4.0,5.0,80.0,1.0,1.0,100,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,NJN,Mar 31 2010
7,".K. Dooling, .D. Harris, .K. Humphries, .J. Boone, .T. Williams ",1,2.5,4.0,2.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,NJN,Mar 31 2010
8,".K. Dooling, .K. Humphries, .B. Lopez, .C. Lee, .T. Williams ",1,2.3,7.0,2.0,3.0,66.7,1.0,1.0,100,2.0,2.0,100,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,NJN,Mar 31 2010
9,".K. Dooling, .K. Humphries, .J. Boone, .C. Lee, .T. Williams ",1,1.4,5.0,2.0,2.0,100,0.0,0.0,0.0,1.0,1.0,100,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,NJN,Mar 31 2010
10,".K. Dooling, .J. Hayes, .K. Humphries, .J. Boone, .T. Williams ",1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,NJN,Mar 31 2010
11,".J. Hayes, .K. Humphries, .J. Yi, .C. Lee, .T. Williams ",1,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,NJN,Mar 31 2010
0,".D. Harris, .J. Yi, .B. Lopez, .C. Lee, .T. Williams ",1,15.8,34.0,13.0,25.0,52.0,3.0,3.0,100,5.0,6.0,83.3,2.0,9.0,11.0,9.0,4.0,1.0,0.0,2.0,5.0,4.0,-1.0,NJN,Mar 22 2010
