Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Fri Nov 1 2013,7:00p,Cleveland Cavaliers,84,Charlotte Bobcats,90,Box Score,,18017,
Fri Nov 1 2013,7:00p,New Orleans Pelicans,90,Orlando Magic,110,Box Score,,18846,
Fri Nov 1 2013,7:00p,Philadelphia 76ers,109,Washington Wizards,102,Box Score,,17160,
Fri Nov 1 2013,7:30p,Toronto Raptors,95,Atlanta Hawks,102,Box Score,,18118,
Fri Nov 1 2013,7:30p,Milwaukee Bucks,105,Boston Celtics,98,Box Score,,18624,
Fri Nov 1 2013,8:00p,Miami Heat,100,Brooklyn Nets,101,Box Score,,17732,
Fri Nov 1 2013,8:00p,Dallas Mavericks,105,Houston Rockets,113,Box Score,,18142,
Fri Nov 1 2013,8:00p,Detroit Pistons,108,Memphis Grizzlies,111,Box Score,OT,18119,
Fri Nov 1 2013,8:00p,Oklahoma City Thunder,81,Minnesota Timberwolves,100,Box Score,,17433,
Fri Nov 1 2013,9:00p,Portland Trail Blazers,113,Denver Nuggets,98,Box Score,,19155,
Fri Nov 1 2013,10:00p,Utah Jazz,84,Phoenix Suns,87,Box Score,,14662,
Fri Nov 1 2013,10:00p,Los Angeles Clippers,110,Sacramento Kings,101,Box Score,,17317,
Fri Nov 1 2013,10:30p,San Antonio Spurs,91,Los Angeles Lakers,85,Box Score,,18997,
Sat Nov 2 2013,7:00p,Cleveland Cavaliers,74,Indiana Pacers,89,Box Score,,16242,
Sat Nov 2 2013,7:30p,Chicago Bulls,104,Philadelphia 76ers,107,Box Score,,15782,
Sat Nov 2 2013,8:00p,Charlotte Bobcats,84,New Orleans Pelicans,105,Box Score,,15232,
Sat Nov 2 2013,8:30p,Memphis Grizzlies,99,Dallas Mavericks,111,Box Score,,20262,
Sat Nov 2 2013,8:30p,Toronto Raptors,97,Milwaukee Bucks,90,Box Score,,16046,
Sat Nov 2 2013,9:00p,Houston Rockets,104,Utah Jazz,93,Box Score,,19498,
Sat Nov 2 2013,10:00p,San Antonio Spurs,105,Portland Trail Blazers,115,Box Score,,20028,
Sat Nov 2 2013,10:30p,Sacramento Kings,87,Golden State Warriors,98,Box Score,,19596,
Sun Nov 3 2013,6:00p,Boston Celtics,77,Detroit Pistons,87,Box Score,,14978,
Sun Nov 3 2013,6:00p,Washington Wizards,93,Miami Heat,103,Box Score,,19600,
Sun Nov 3 2013,6:00p,Brooklyn Nets,86,Orlando Magic,107,Box Score,,15297,
Sun Nov 3 2013,7:00p,Phoenix Suns,96,Oklahoma City Thunder,103,Box Score,,18203,
Sun Nov 3 2013,7:30p,Minnesota Timberwolves,109,New York Knicks,100,Box Score,,19812,
Sun Nov 3 2013,9:30p,Atlanta Hawks,103,Los Angeles Lakers,105,Box Score,,18997,
Mon Nov 4 2013,7:00p,Minnesota Timberwolves,92,Cleveland Cavaliers,93,Box Score,,17892,
Mon Nov 4 2013,7:00p,Golden State Warriors,110,Philadelphia 76ers,90,Box Score,,11089,
Mon Nov 4 2013,8:00p,Boston Celtics,88,Memphis Grizzlies,95,Box Score,,15872,
Mon Nov 4 2013,10:30p,Houston Rockets,118,Los Angeles Clippers,137,Box Score,,19404,
Tue Nov 5 2013,7:00p,Miami Heat,104,Toronto Raptors,95,Box Score,,18470,
Tue Nov 5 2013,7:30p,Utah Jazz,88,Brooklyn Nets,104,Box Score,,17732,
Tue Nov 5 2013,7:30p,Indiana Pacers,99,Detroit Pistons,91,Box Score,,13401,
Tue Nov 5 2013,7:30p,Charlotte Bobcats,102,New York Knicks,97,Box Score,,19812,
